Domain,Paragraph_ID,Source_Document_ID,Tuple_ID,ProbeID,Probe_Number,Probe_Type,Paragraph,Probe_Question,Gold_Label
Pubmed,P58P1,P58P1,P58P1_T4,P58P1_T4_3,3,condition_removed,"Patients with prostate cancer (PCa) have a variable prognosis. It is challenging to recognize the progressive disease. In this study, we focused on TSPAN1, a new member of the tetraspanin family. Its expression was decreased in progressive PCa and was an independent prognosis factor of biochemical recurrence after radical prostatectomy. In vitro, knockdown and overexpression of TSPAN1 in PCa cell lines showed that TSPAN1 could inhibit cell proliferation and migration. TSPAN1 was positive related to PTEN in both clinical specimen and mouse models. The combination of these two markers could increase their prognosis value especially in low risk patients. In vitro TSPAN1 knockdown resulted in increased Akt phosphorylation and caused evident cell cycle transition from G1 to S phase. Our data suggests that TSPAN1 is a valuable marker to recognize more progressive PCa.",,Not Enough Evidence
Pubmed,P72P1,P72P1,P72P1_T1,P72P1_T1_4,4,original_condition,"Molecular biomarkers that might help to distinguish between more aggressive and clinically insignificant prostate cancers (PCa) are still urgently needed. Aberrant DNA methylation as a common molecular alteration in PCa seems to be a promising source for such biomarkers. In this study, PITX3 DNA methylation (mPITX3) and its potential role as a prognostic biomarker were investigated. Furthermore, mPITX3 was analyzed in combination with the established PCa methylation biomarker PITX2 (mPITX2).",,Supported
Pubmed,P104P1,P104P1,P104P1_T1,P104P1_T1_2,2,condition_replaced,"Breast cancer is the leading cause of cancer-related deaths in women due to distinct cancer subtypes associated with early recurrence and aggressive metastatic progression. High lipoprotein-associated phospholipase A2 (PLA2G7) expression has previously been associated with aggressive disease and metastasis in prostate cancer. Here, we explore the expression pattern and functional role of PLA2G7 in breast cancer. First, a bioinformatic analysis of genome-wide gene expression data from 970 breast samples was carried out to evaluate the expression pattern of PLA2G7 mRNA in breast cancer. Second, the expression profile of PLA2G7 was studied in 1042 breast cancer samples including 89 matched lymph node metastasis samples using immunohistochemistry. Third, the effect of PLA2G7 silencing on genome-wide gene expression profile was studied and validated in cultured breast cancer cells expressing PLA2G7 at high level. Last, the expression pattern of PLA2G7 mRNA was investigated in 24 nonmalignant tissue samples and 65 primary and 7 metastatic tumour samples derived from various organs using qRT-PCR.",,Not Enough Evidence
Pubmed,P96P11,P96P11,P96P11_T1,P96P11_T1_2,2,condition_replaced,"As the number of large-scale genomics datasets exponentially increases due to decreasing experimental costs, current limitations reside in our capacity to extract relevant information. Our study illustrates a novel pipeline applicable to any range of disease cohorts that can assist in mining these datasets in a robust and unbiased way to generate clinically relevant knowledge. Combinatorial enumeration of all possible subsets of n genes with disease-free survival helps isolate k gene sets based on statistical significance. From there, we are able to identify an optimal gene set signature, whose dysregulation can be associated with disease-free survival in early stage prostate cancer patients. We illustrate this process with ALDH1A2, where by using this retinoic acid pathway gene as a seed for the data-mining pipeline, we identify an initial set of 11 genes, which is reduced by statistical significance, first to 2 gene sets, and then refined to an optimal gene set containing just two genes. This optimal gene signature has significant predictive power of relapse, both alone and in combination with the traditional histological Gleason score.",,Not Enough Evidence
Pubmed,P71P7,P71P7,P71P7_T1,P71P7_T1_3,3,condition_removed,"In this study, we contribute 68 novel prostate cancer associated mtDNA mutations to the growing somatic catalog, while confirming six others. Taken together, roughly 3% of the total mitochondrial genome has now been shown to have mutagenic potential during prostate tumourigenesis. Accounting for previous study biases towards the restricted analysis of the hypervariable regions within the control region of mtDNA, the greatest overall impact appears to be within the smaller 1.2 kb non-coding portion of the genome, observing 14 SNVs per kb in our study. We confirm a previously reported bias towards mutational events within the tRNAs, reporting 8.7 SNVs per kb. We predict 32% of our identified mutations to have biological potential, with roughly half present in sufficient frequency to alter mitochondrial function. Further biological studies are required to determine the overall impact of these somatic mutations on energy metabolism, specifically their potential to drive tumor respiration from one of oxidative phosphorylation to aerobic glycolysis, a common cancer phenomenon known as the Warburg effect.",,Not Enough Evidence
Pubmed,P128P1,P128P1,P128P1_T1,P128P1_T1_1,1,relation_contradicted,"We investigate the association of MUC1 with castration-resistant prostate cancer (CRPC), bone metastasis, and PC recurrence. MUC1 expression was studied in patient-derived bone metastasis and CRPCs produced by prostate-specific PTEN‚àí/‚àímice and LNCaP xenografts. Elevations in MUC1 expression occur in CRPC. Among nine patients with hormone-na√Øve bone metastasis, eight express MUC1 in 61% to 100% of PC cells. Utilizing cBioPortal PC genomic data, we organized a training (n = 300), testing (n = 185), and validation (n = 194) cohort. Using the Cox model, a nine-gene signature was derived, including eight genes from a MUC1-related network (APC, CTNNB1/Œ≤-catenin, GALNT10, GRB2, LYN, SIGLEC1, SOS1, and ZAP70) and FAM84B. Genomic alterations in these genes reduce disease-free survival (DFS) in the training (P = .00161), testing (P = .00699), entire (training + testing, P = 5.557e-5), and a validation cohort (P = 3.326e-5). The signature independently predicts PC recurrence [hazard ratio (HR) = 1.731; 95% confidence interval (CI): 1.104-2.712; P = .0167] after adjusting for known clinical factors and stratifies patients with high risk of PC recurrence using the median (HR 2.072; 95% CI: 1.245-3.450, P = .0051) and quartile 3 (HR 3.707, 95% CI: 1.949-7.052, P = 6.51e-5) scores. Several novel Œ≤-catenin mutants are identified in PCs leading to a rapid onset of death and recurrence. Genomic alterations in APC and CTNNB1/Œ≤-catenin reduce DFS in two independent PC cohorts (n = 485, P = .0369; n = 84, P = .0437). The nine-gene signature also associates with reductions in overall survival (P = .0458) and DFS (P = .0163) in melanoma patients (n = 367). MUC1 upregulation is associated with CRPC and bone metastasis. A nine-gene signature derived from a MUC1 network predicts PC recurrence.",,Not Supported
Pubmed,P90P1,P90P1,P90P1_T1,P90P1_T1_1,1,relation_contradicted,"Background: Some studies have reported that deletions at chromosome arm 9p occur frequently and represent a critical step in carcinogenesis of some neoplasms. Our aim was to evaluate the deletion of locus 9p21 and chromosomes 3, 7 and 17 in localized prostate cancer and correlate these alterations with prognostic factors and biochemical recurrence after surgery.",,Not Supported
Pubmed,P16P2,P16P2,P16P2_T4,P16P2_T4_5,5,condition_contradicted,"Numerous long noncoding RNAs (lncRNAs) have recently emerged as targets for clinical translation. We previously identified 121 novel, differentially expressed prostate cancer (PCa) lncRNAs, including SChLAP1, which is overexpressed in a subset of tumors and associated with more aggressive disease. We subsequently validated a novel RNA in situ hybridization (ISH) assay for detection of SChLAP1 in formalin-fixed, paraffin-embedded (FFPE) tissue and used this assay to demonstrate that high SChLAP1 expression independently predicts biochemical PCa recurrence (ie, prostate-specific antigen [PSA] relapse) after radical prostatectomy in patients with clinically localized PCa. Although biochemical recurrence almost universally precedes clinical disease recurrence, many PCa patients with biochemical recurrence do not develop lethal disease. Given the predictive value of SChLAP1 ISH for biochemical recurrence after radical prostatectomy, we sought to investigate whether high SChLAP1 expression on ISH is also associated with development of lethal PCa (PCa-specific mortality or distant metastases).",,Not Supported
Pubmed,P177P7,P177P7,P177P7_T1,P177P7_T1_4,4,original_condition,"In this study, we have comparatively analyzed the expression of genes encoding IFN-Œ≥, TNF-Œ±, and their receptors in prostate cancer and in benign prostatic hyperplasia tissues. Moreover, we have investigated the ability of these cytokines to induce in prostate cancer cells the production of factors promoting tumor progression through the inhibition of adaptive immune responses and or the activation of alternative pathways for the androgen receptor. Finally, we have addressed the prognostic significance of factors induced by IFN-Œ≥ and TNF-Œ± in prostate cancer cells and their potential predictive power when detected in urine of individuals at risk of developing this malignancy.",,Supported
Pubmed,P84P1,P84P1,P84P1_T6,P84P1_T6_1,1,relation_contradicted,"Hypermethylation of the paired-like homeodomain transcription factor 2 (PITX2) gene is a strong predictor of the risk of biochemical recurrence in patients with prostate cancer (PCa) after radical prostatectomy. We investigate whether PITX2 methylation is feasible for individualized risk assessment in prostate core biopsies before surgery. A quantitative, methylation-specific real-time PCR was used to measure PITX2 in three cohorts: i) matched samples of neoplastic and nonneoplastic tissue from 24 patients with PCa, ii) a well-characterized cohort of 300 patients with PCa after radical prostatectomy, and iii) core biopsy specimens from 32 patients with PCa and 31 patients with benign prostatic disease. PITX2 methylation discriminated between neoplastic and nonneoplastic tissue in patients with PCa. In the second cohort, PITX2 hypermethylation predicted an increased risk of biochemical recurrence in univariate Cox proportional hazards regression analysis and Kaplan-Meier analysis. In 753 prostate biopsies, 720 were applicable for analysis, rendering the assay feasible for diagnostic biopsies. PITX2 methylation was furthermore significantly increased in tumor-positive biopsies and strongly correlated with International Society of Urological Pathology grade groups. This study indicates that the PITX2 methylation assay is feasible in prostate biopsies and might add valuable prognostic information for risk assessment in a presurgical diagnostic setting.",,Not Supported
Pubmed,P138P7,P138P7,P138P7_T2,P138P7_T2_1,1,relation_contradicted,"Tumors with PTEN loss have significantly altered gene expression profiles. Saal et al. previously generated a tumor transcriptomic signature of PTEN loss in breast tumors. The signature included 246 genes and the most significant differentially expressed gene was PTEN itself. The PTEN loss-like mRNA expression signature was also strongly associated with PTEN status based on copy number levels in PCa. Further, in independent datasets of breast, prostate, and bladder carcinoma, the signature significantly correlated with worse patient outcomes.",,Not Supported
Pubmed,P78P2,P78P2,P78P2_T1,P78P2_T1_5,5,condition_contradicted,"Prostate cancer is one of the most frequent cancer types in males worldwide. About one million patients are diagnosed with this disease every year, and almost 140,000 eventually die from their cancer in Western societies. Autopsy studies suggest that up to 70% of males will develop prostate cancer during their lifetime, but clinical experience shows that only a minority of patients will develop life-threatening disease that requires radical treatment. As screening strategies identify prostate cancers already at early stages of the disease, it becomes increasingly important to avoid overtreatment of patients with less aggressive disease. Accordingly, it will be important to establish molecular markers enabling an early distinction between the indolent and aggressive forms of the disease.",,Not Supported
Pubmed,P24P3,P24P3,P24P3_T1,P24P3_T1_1,1,relation_contradicted,"One promising approach is DNA methylation profiling. Changes in DNA methylation, with accompanied epigenetic gene silencing, appear to be the earliest somatic genomic alterations recognized in human PCa and continue throughout disease progression. Hypermethylation of promoter CpG islands (CGIs) can silence tumor suppressor genes early during tumorigenesis, while significant global hypomethylation arises later in PCa progression. It is likely that different patterns of DNA methylation may distinguish aggressive vs. indolent PCa and predict responses to specific treatments. Earlier studies have shown that promoter hypermethylation of specific genes are associated with PCa progression. The best characterized gene, glutathione S-transferase-p (GSTP1), shows promoter hypermethylation in more than 90% of PCas from numerous independent analyses. Other methylation-mediated gene silencing has been reported in more than 40 genes, including APC, RARŒ≤, and RASSF1A, and the number continues to grow. However, no consistent conclusions can be drawn regarding the predictive value of these methylation markers.",,Not Supported
Pubmed,P36P7,P36P7,P36P7_T1,P36P7_T1_3,3,condition_removed,"The androgen receptor (AR) is a ligand-activated transcription factor that is central to the initiation and progression of prostate cancer. The importance of AR signalling is underscored by the clinical utility of castration in producing symptomatic relief and objective responses in men with advanced prostate cancer. During prostate development, AR activation is known to increase the expression of growth factors, transcription factors and signalling peptides that are involved in cell proliferation, resistance to apoptosis, invasion and migration, processes which are necessary for successful organogenesis and are subsequently exploited by cancer. The expression of AR has been demonstrated to increase with increasing tumour grade and stage, as do serum levels of prostate specific antigen (PSA), the product of the prototypical androgen responsive gene KLK3. In fact, the positive relationship between increasing serum PSA and increasing tumour stage and grade informs all aspects of its usage in the clinical management of prostate cancer patients. However, it has been recognised for some time that there exists a small cohort of patients with primary prostate cancer that remains localised to the prostate, in whom serum PSA does not accurately reflect the extent of their disease burden. These ‚Äòlow-secreting‚Äô tumours are reported to have a worse prognosis compared to grade- and stage-matched controls. This is supported by a number of studies indicating that the incidence of prostate cancer, including high-grade tumours, is significant in patients with serum PSA levels within the quoted normal range.",,Not Enough Evidence
Pubmed,P198P6,P198P6,P198P6_T3,P198P6_T3_5,5,condition_contradicted,"One of the strongest prostate cancer risk predictors is the rare recurrent and highly penetrant missense mutation rs138213197/G84E in HOXB13, which codes a homeobox transcription factor that is important in prostate development. There are few additional HOXB13 variants identified in U.S. Caucasians. However, the G84E is a Finnish founder mutation and was recently found to be linked to androgen receptor cistrome reprogramming through cooperating with the pioneer factor FOXA1 in human prostate tumorigenesis. Sharing common haplotype in mutation carriers suggested a founder effect, which was estimated to occur in 1792 in Finland. It is present in 8.4% of Finnish familial prostate cancer cases and represents significantly increased prostate cancer risk also in unselected cases. In unselected prostate cancer cases, the G84E variant was also associated with a considerable risk of prostate cancer in Swedish and UK populations. G84E mutation has been connected with early-onset, familial cases worldwide and explains partly the hereditary component of prostate cancer. Although overexpression of HOXB13 has been linked to several prognostic predictors of prostate cancer and prostate tumorigenesis in men, the associations of G84E with prostate cancer clinical outcomes are not fully known.",,Not Supported
Pubmed,P76P4,P76P4,P76P4_T1,P76P4_T1_4,4,original_condition,"mPD-L1 is a promising biomarker for the risk stratification of PCa patients and might offer additional relevant prognostic information to the implemented clinical parameters, particularly in the setting of immune checkpoint inhibition.",,Supported
Pubmed,P184P11,P184P11,P184P11_T3,P184P11_T3_3,3,condition_removed,"We found that a distinct interferon signature that is analogous to the previously described Interferon-related DNA Damage Resistance Signature occurs in prostate tumors. Evaluation of two independent patient cohorts revealed that IRDS is detected about twice as often in prostate tumors of African-American than European-American men. Furthermore, analysis in The Cancer Genome Atlas showed an association of increased IRDS in prostate tumors with decreased disease-free survival. To explain these observations, we assessed whether IRDS is associated with an IFNL4 germline variant that controls production of IFN-Œª4, a type-III interferon, and is most common in individuals of African ancestry. We show that the IFNL4 rs368234815-ŒîG allele was significantly associated with IRDS in prostate tumors and overall survival of African-American patients. Moreover, IFNL4 overexpression induced IRDS in three human prostate cancer cell lines.",,Not Enough Evidence
Pubmed,P195P6,P195P6,P195P6_T1,P195P6_T1_2,2,condition_replaced,"In this study, we show that ANO7, a gene specifically expressed in the prostate, is a promising biomarker to predict PrCa aggressiveness. We identified two pathogenic variants that could possibly be utilized in genetic testing of PrCa patients. The stop-gain variant rs148609049 in exon 1 contributes to decreased survival time. The splice site/missense variant rs77559646 in exon 4 increases the risk of PrCa and is also associated with aggressive PrCa. The same variant is an eQTL for ANO7, and high mRNA levels of ANO7 strongly correlate with poor survival. ANO7 gene expression is highly elevated in PrCa tumors versus normal prostate tissue, and high expression strongly increases the PrCa patient mortality rate. These findings should spur further research to elucidate the regulatory networks of ANO7.",,Not Enough Evidence
Pubmed,P197P5,P197P5,P197P5_T1,P197P5_T1_2,2,condition_replaced,"To address these questions, we first examine the genomic CNA landscape of conservatively treated prostate cancer in more than a hundred diagnostic biopsy and resection specimens from a conservatively treated cohort; this cohort consisted of patients with localized prostate cancer who were not treated with surgery or radiation within six months of diagnosis. We demonstrate that tumor CNA burden is associated with cancer-specific death, independent of standard clinical predictors. To explore the prognostic significance of tumor CNA burden more broadly in other cancer types, we find that tumor CNA burden is also associated with disease-free and overall survival in TCGA cohorts of primary breast, endometrial, renal clear cell, thyroid, and colorectal cancer in addition to prostate cancer, with the degree of association varying in some cancer types. We then establish the clinical feasibility of measuring tumor CNA burden using the FDA-cleared MSK-IMPACT clinical next generation sequencing assay and confirm that tumor CNA burden is associated with overall and disease-specific survival in both primary and metastatic tumors across cancer types. In all, we demonstrate that tumor CNA burden is a prognostic factor associated with cancer recurrence and death in multiple cancer types, including in conservatively treated prostate cancer which would benefit from increased risk stratification.",,Not Enough Evidence
Pubmed,P127P7,P127P7,P127P7_T3,P127P7_T3_5,5,condition_contradicted,"To the best of our knowledge, this is the largest study of TFF3 promoter methylation and RNA expression in PC to date. We found that the TFF3 gene promoter was frequently hypomethylated in PC compared to non-malignant prostate tissue samples, suggesting diagnostic biomarker potential for PC. Additionally, TFF3 RNA expression levels were significantly increased in PC tissue samples and correlated inversely with TFF3 promoter methylation, consistent with epigenetic regulation of gene activity. Furthermore, low TFF3 RNA levels were significantly associated with high ERG expression, high Gleason score, advanced pT-stage, and early prostate-specific antigen recurrence after radical prostatectomy. Together, our results demonstrate diagnostic biomarker potential of TFF3 promoter hypomethylation as well as prognostic biomarker potential of TFF3 RNA expression for clinically localized PC.",,Not Supported
Pubmed,P111P8,P111P8,P111P8_T5,P111P8_T5_2,2,condition_replaced,"The growing importance of miR-100-5p in carcinogenesis has been realized by several groups, which have investigated the multifaceted role of this microRNA in numerous cancers. More specifically, miR-100 has been shown to regulate apoptosis and cell cycle arrest through regulating myotubularin related protein 3 in breast cancer cells. MTMR3 inhibition through miR-100 activates p27 that can either turn on apoptosis through Bax/Bcl-2 or G2/M cell cycle arrest through CDK1/Cyclin B. An analysis of human prostate cancer samples by Leite et al. revealed a global deregulation of miR-100-5p during the transition from high grade localized prostate cancer to metastasis. Loss of miR-100-5p was concurrently reported to promote prostate cancer metastasis through regulation of migration, invasion, epithelial-mesenchymal transition, and stemness of cancer cells by upregulating AGO2 expression. In sharp contrast, however, patients with higher levels of miR-100-5p were more likely to relapse following radical prostatectomy. In light of these studies, Leite et al. suggested a context-dependent role for miR-100-5p in prostate cancer, which heavily depends on the stochastic needs of a tumour cell upon therapeutic insults and nutrient availability. Oncogenic miR-100-5p can stimulate rapid proliferation by downregulating SMARCA5, BAZ2A, and THAP2 in the pRb signalling pathway. In a reversed role, miR-100-5p could potentially downregulate mTOR pathway thus reducing cell proliferation. Further, our data indicates that miR-100 is induced by androgen ablation and concordantly androgens inhibit miR-100 expression. Even though we do not explore how miR-100 expression is regulated, we can infer that miR-100-5p plays a double role in promoting hormone resistance: it is acutely upregulated upon androgen-deprivation therapy and therefore it is required for androgen-independent survival in dormant prostate cancer cells. To the contrary, in AR-negative cells, miR-100 promotes cell proliferation. In keeping with this multifaceted role, our clinical and bio-informatics data suggest that miR-100-5p inhibits the expression of several other tumor-suppressive genes, which are involved in both androgen-independent survival and proliferation.",,Not Enough Evidence
Pubmed,P13P8,P13P8,P13P8_T2,P13P8_T2_3,3,condition_removed,"Analyzing the proviral integration sites, we identified 11 promising candidate genes. Three of the candidate genes were identified in/near CISs and another eight candidate genes were identified by performing meta-analysis of all genes in/near the 79 tumor unique integrations sites from androgen independent primary tumor samples. Meta-analysis enabled us to prioritize the candidate genes that are differentially expressed in human PC samples. In addition to differentially expression, cancer-associated genes are mostly known to be genetically altered in cancer patients. It has been shown that PC progression is most often the result of chromosomal rearrangements and gene mutations. The loss/mutations of TP53 and PTEN are common genetic alterations found in AIPC. In addition to PTEN and TP53, several other genetic alterations were reported to be important for AIPC emergence. Our analysis demonstrated that at least four of our candidate genes (FAM83H, OBSCN, CLDN7 and STRA13) were recurrently altered in PC patients, suggesting that dysregulation of these candidate genes might have triggered AIPC in our screen.",,Not Enough Evidence
Pubmed,P12PR8,P12,P12PR8_T7,P12PR8_T7_3,3,condition_removed,"Next we examined the relationship between SiM-miRNAs and AR transcriptional activity in PC tissue. We determined that for 11 of the 12 SiM-miRNAs, the miRNA levels were positively correlated with the presence of a gene signature generated by silencing AR (that is, inversely correlated with AR transcriptional activity). These data further supported the role of SiM-miRNAs in the regulation of the AR axis in PC. The single outlier was miR-135a-5p, a SiM-miRNA that potently suppresses AR expression and activity, suggesting a more complex relationship to AR. Moreover, miR-135a-5p expression is generally not suppressed in primary PC (only one out of the four primary PC data sets indicated miR-135a-5p downregulation). This further suggested that silencing of miR135a-5p in metPC may be related to mechanism(s) distinct from those of the other SiM-miRNAs. Indeed, we documented that androgen potently induced the expression of miR-135a-5p, consistent with a previous report by Kroiss et al. who identified an androgen-response element in the miR-135a promoter region. Although we also found AR recruitment to the same androgen-response element under androgen stimulation of LNCaP cells with 1 nM R1881 (data not shown), we additionally identified stronger co-recruitment of AR, its pioneer factors FOXA1 and GATA2, the coactivator SRC-2, CBP, p300 and RNA Pol II to a region immediately downstream of the miR-135a-5p gene in LNCaP cells cultured without the addition of synthetic androgen. The robust presence of H3K4me1, H3K4me2 and H3K27ac, but not H3K4me3, at the latter site further suggests that it functions as an enhancer, even under normal growth conditions (medium supplemented with 10% fetal bovine serum). Combined with the inhibitory effect of miR-135a 5p on expression of AR, SRC-1, SRC-2 and SRC-3, this suggests a negative feedback loop that regulates AR axis transcriptional output and can de-repress it upon androgen deprivation. These findings also explain why miR-135a-5p was the sole outlier that lacked an inverse correlation of its levels with AR transcriptional activity in PC tissues (because the negative feedback nature of this dual interaction stabilizes this network and blunts any correlation under steady-state conditions) and why miR-135a-5p expression was not significantly downregulated in three of the four primary PC data sets that we analyzed (because they had not yet been exposed to androgen deprivation).",,Not Enough Evidence
Pubmed,P93P3,P93P3,P93P3_T4,P93P3_T4_3,3,condition_removed,"The human A Disintegrin and Metalloproteinase 15 (ADAM15) is one of more than 20 members of the ADAM family of type I multi-domain transmembrane glycoproteins that function as zinc-dependent endopeptidases. Activated ADAM15 is involved in proteolytic processing of cytokines, growth factors and adhesions molecules. ADAM15 promotes cancer progression in gastric, lung and colon cancers as well as melanomas. It is believed that the tumor promoting action of ADAM15 results from disruption of cell‚Äìcell and cell-matrix adhesion and from release of membrane-bound growth factors. Accordingly, ADAM15 deregulation has been linked to poor patient outcome in lung and colon cancers.",,Not Enough Evidence
Pubmed,P172P3,P172P3,P172P3_T2,P172P3_T2_1,1,relation_contradicted,"Increases in androgen deprivation therapy Response Signature score were associated with a reduction in risk of metastasis only in adjuvant androgen deprivation therapy patients. On multivariable analysis, androgen deprivation therapy Response Signature by androgen deprivation therapy treatment interaction term remained associated with metastasis in both validation sets. In a matched validation set, patients with low androgen deprivation therapy Response Signature scores had similar 10-year metastasis rates in the adjuvant androgen deprivation therapy and no androgen deprivation therapy groups. Among high androgen deprivation therapy Response Signature patients, 10-year metastasis rates were significantly lower for adjuvant androgen deprivation therapy versus no androgen deprivation therapy patients. The marginal androgen deprivation therapy Response Signature by androgen deprivation therapy interaction remained significant in the matched dataset.",,Not Supported
Pubmed,P37P6,P37P6,P37P6_T1,P37P6_T1_2,2,condition_replaced,"In this study, we investigate the diagnostic and prognostic biomarker potential of microRNAs (miRNAs) for PC. MicroRNAs comprise an abundant class of endogenous small non-coding RNAs (~22-nt) that control gene expression at the posttranscriptional level. MicroRNAs are transcribed by RNA polymerase II into long, imperfectly paired stem-loop primary miRNAs, which are further processed into hairpin-containing precursor miRNAs, exported to the cytoplasm, and cleaved into a mature ~22-nt miRNA duplex. Mature miRNAs guide the miRNA-induced silencing complex (miRISC) to perfect or near-perfect complementary target mRNAs, resulting in translational inhibition or mRNA degradation. It has been estimated that up to 60% of human mRNAs are regulated by miRNAs, often in a highly cell type-specific manner, and miRNAs are known to influence key cellular processes, e.g. differentiation, cell cycle progression, and apoptosis.",,Not Enough Evidence
Pubmed,P39P6,P39P6,P39P6_T4,P39P6_T4_4,4,original_condition,"The Canary Tissue Microarray of Prostate cancer outcomes (CTMAP) was designed with the primary objective of validating promising candidate biomarkers reported to predict PC recurrence at the time of radical prostatectomy (RP). The CTMAP model of a case-cohort study was designed to allow validation of a biomarker with approximately two-fold sensitivity greater than Gleason score (GS) in predicting PC recurrence. Such a marker would likely benefit clinical practice. Oversampling of recurrent low-grade tumors and non-recurrent high-grade tumors in CTMAP decreases the influence of GS, allowing unbiased validation of independent prognostic biomarkers. This large and well-annotated tissue resource of more than 1,300 randomly selected RP specimens with prolonged follow-up from six academic institutions also reflects the heterogeneity of PC and spectrum of patient management in North America.",,Supported
Pubmed,P84P3,P84P3,P84P3_T2,P84P3_T2_4,4,original_condition,"The field of nucleic acid-based biomarkers offers a variety of marker candidates and technologies for standardized assays. With focus on the analysis of presurgical biopsy specimens, the limited amount of tissue represents a major technological challenge. DNA methylation seems to be a promising marker candidate with regard to this issue, allowing for robust measurements of stable DNA with limited input amount and viable implementation into clinical routine technologies. Epigenetic regulation via DNA methylation plays a key role in fundamental biological processes, such as cell differentiation and development. Moreover, DNA methylation is a hallmark of malignant tumors and is involved in the orchestration of carcinogenesis. This conceptual framework suggests that aberrantly methylated loci might be a valuable source for cancer biomarkers. So far, MGMT promoter methylation, which predicts progression-free survival in patients with glioblastoma multiforme undergoing therapy with temozolomide, has been used as the only routinely tested methylated biomarker in clinical practice.",,Supported
Pubmed,P192P1,P192P1,P192P1_T4,P192P1_T4_5,5,condition_contradicted,"Pentatricopeptide repeat domain protein 3 (PTCD3) is a mitochondrial RNA-binding protein that serves a role in mitochondrial translation. PTCD3 was originally reported as an oncogene that is involved in breast cancer and lymphoma. However, the expression and function of PTCD3 in prostate cancer (PCa) are unknown. Therefore, the aim of the present study was to investigate the expression of PTCD3 and its clinical significance in PCa. Immunohistochemistry and dataset analyses revealed that PTCD3 protein expression levels were enhanced in human PCa tissues and mouse PCa models. PTCD3 expression levels were positively correlated with advanced PCa pathological grade and clinical stage. Additionally, PTCD3 mRNA expression was positively correlated with tissue malignancy, high Gleason score and distant metastasis in The Cancer Genome Atlas dataset. Kaplan-Meier analysis revealed that high PTCD3 levels can predict the increased biochemical recurrence (BCR)-free survival in all patients with or without metastasis. The overexpression of PTCD3 could be used as an independent prognostic marker of poor BCR-free survival. Immunofluorescence and western blot analysis in human PCa cell lines further confirmed that PTCD3 levels were associated with the hormone independence of PCa. Therefore, the present study revealed that PTCD3 levels may serve as a novel biomarker for PCa prognosis.",,Not Supported
Pubmed,P87P5,P87P5,P87P5_T1,P87P5_T1_1,1,relation_contradicted,"Metabolic reprogramming is a hallmark of cancer, and the WP has been suggested as an emerging mediator of cancer cell metabolism. Wnt5a-mediated NCWP has been directly related to alterations of the energy metabolism in melanoma and breast cancer cells. Selected metabolic alterations detected in tissue samples by high resolution magic angle spinning magnetic resonance spectroscopy can be translated for use in a clinical setting by magnetic resonance spectroscopy imaging. Differences in (choline + creatine + spermine)/citrate ratio between low and high histopathological Gleason score have previously been detected using in vivo MRSI of patients, and citrate and spermine are suggested as the main contributors to discriminating on the basis of tumor aggressiveness from tissue HR-MAS MRS analysis. To date, metabolic alterations associated with the WP have not been investigated in prostate cancer.",,Not Supported
Pubmed,P15P1,P15P1,P15P1_T3,P15P1_T3_5,5,condition_contradicted,"Patients with clinically insignificant prostate cancer remain a major over-treated population. PTEN loss is one of the most recurrent alterations in prostate cancer associated with an aggressive phenotype; however, the occurrence of PTEN loss in insignificant prostate cancer has not been reported and its role in the separation of insignificant from significant prostate cancer is unclear. An integrated analysis of PTEN loss was, therefore, performed for structural variations, point mutations and protein expression in clinically insignificant (48 cases) and significant (76 cases) prostate cancers treated by radical prostatectomy. Whole-genome mate pair sequencing was performed on tumor cells isolated by laser capture microdissection to characterize PTEN structural alterations. Fluorescence in situ hybridization probes were constructed from the sequencing data to detect the spectrum of these PTEN alterations. PTEN loss by mate pair sequencing and fluorescence in situ hybridization occurred in 2% of insignificant, 13% of large volume Gleason score 6, and 46% of Gleason score 7 and higher cancers. In Gleason score 7 cancers with PTEN loss, PTEN alterations were detected in both Gleason pattern 3 and 4 in 57% of cases by mate pair sequencing, 75% by in situ hybridization and 86% by immunohistochemistry. PTEN loss by sequencing was strongly associated with TMPRSS2-ERG fusion, biochemical recurrence, PTEN loss by in situ hybridization and protein loss by immunohistochemistry. The complex nature of PTEN rearrangements was unveiled by sequencing, detailing the heterogeneous events leading to homozygous loss of PTEN. PTEN point mutation was present in 5% of clinically significant tumors and not in insignificant cancer or high-grade prostatic intraepithelial neoplasia. PTEN loss is infrequent in clinically insignificant prostate cancer, and is associated with higher grade tumors. Detection of PTEN loss in Gleason score 6 cancer in a needle biopsy specimen indicates a higher likelihood of clinically significant prostate cancer.",,Not Supported
Pubmed,P72P7,P72P7,P72P7_T1,P72P7_T1_4,4,original_condition,"Methylation of the paired-like homeodomain transcription factor 2 (PITX2) has been successfully proven a powerful prognostic biomarker in several cancer entities such as lung cancer, hormone-receptor-negative breast cancer, and PCa. PITX2 is initiated by Wnt/Œ≤-catenin and is involved in the control of cell proliferation. PITX2 regulates the expression of the androgen receptor (AR) and insulin-like growth factor (IGF) receptor genes, leading to the regulation of signaling pathways involving AR and IGF during PCa progression.",,Supported
